@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
0,0,0,0,3,5,8,T,K,2,2,0,840.279020979021
1,1,1,0,3,4,8,9,J,1,2,0,223.22257053291537
0,0,1,1,3,4,6,9,J,1,1,0,585.020979020979
0,0,1,1,3,4,8,8,J,1,2,3,1235.371794871795
1,1,1,0,3,3,7,8,A,2,2,0,1431.9102564102564
0,0,0,0,2,3,J,K,K,2,3,4,1021.9573426573427
0,0,0,0,4,5,7,Q,A,2,2,3,978.6573426573426
0,0,0,0,3,7,J,K,A,2,3,4,244.8573667711599
0,0,1,0,2,4,5,5,K,2,2,0,1149.609557109557
0,1,1,0,7,8,T,Q,K,2,2,0,1037.7027972027972
0,1,2,1,6,7,9,T,K,2,22,3,1690.8216783216783
0,0,0,0,5,6,Q,K,A,1,2,3,255.9780564263323
1,0,0,0,3,4,6,8,T,1,2,0,240.20689655172413
0,0,0,0,2,3,8,8,Q,2,22,3,694.027972027972
0,0,1,1,4,8,9,T,Q,2,22,0,425.14405594405594
0,1,2,1,4,7,7,T,J,2,2,0,1398.558275058275
0,0,0,2,2,7,8,J,K,1,2,0,900.2328671328671
0,0,0,0,7,J,Q,Q,Q,2,2,0,1711.4160839160838
0,2,0,0,3,5,7,T,Q,2,22,3,491.7594405594406
0,0,0,1,3,7,8,8,K,2,2,0,1254.43006993007
0,0,0,0,2,5,6,6,J,2,2,3,549.290909090909
0,1,1,2,7,T,J,Q,Q,2,22,0,1483.1293706293707
0,0,0,1,2,3,8,9,Q,1,2,0,289.7937062937063
0,0,0,0,2,2,6,7,T,2,2,0,315.8342657342657
0,0,0,0,8,T,J,K,A,2,2,0,923.8510489510489
0,1,0,0,2,6,Q,Q,K,2,2,0,965.0314685314685
0,0,0,0,2,3,9,T,A,2,3,3,200.576802507837
0,0,1,0,3,9,9,Q,A,2,22,0,787.5923076923077
0,1,0,0,3,7,8,9,T,2,3,4,358.5286713286713
2,1,1,1,4,6,8,8,Q,1,2,0,1529.5839160839162
0,2,1,0,3,4,9,J,A,1,2,0,518.4055944055945
0,0,0,0,3,4,4,6,Q,1,2,0,1656.3531468531469
0,1,1,0,2,3,5,9,J,2,2,0,759.4321678321678
0,2,1,2,5,7,9,J,A,1,2,0,1120.6692307692308
0,1,0,0,3,3,5,K,K,2,2,3,1497.423076923077
0,1,0,0,2,4,5,6,A,2,2,0,513.5608391608391
0,0,0,0,2,3,J,J,Q,2,22,0,886.9097902097902
0,1,0,0,2,3,4,7,Q,2,2,0,419.6937062937063
0,0,0,0,4,T,K,A,A,1,2,0,1118.246853146853
0,0,0,0,3,8,T,Q,A,1,2,3,654.3615384615384
0,1,0,1,9,9,J,Q,A,1,2,0,790.9230769230769
0,1,0,0,5,6,7,9,K,1,1,0,640.4328671328672
0,0,2,2,2,8,9,9,A,2,3,3,1607.0081585081584
0,1,1,2,2,3,7,7,Q,2,3,4,1852.0422866092404
0,1,0,2,9,9,T,J,Q,1,2,0,1780.2
0,2,2,2,2,3,3,J,K,2,3,3,1878.3461538461538
2,2,1,2,2,5,8,9,J,2,22,0,1091.2979020979021
0,0,0,0,2,4,5,5,J,1,2,0,518.4055944055945
0,0,1,0,3,7,8,K,A,2,2,0,657.6923076923076
0,0,0,0,3,3,J,K,K,2,2,0,1496.2319347319349
0,0,2,1,5,6,8,T,Q,2,2,0,1247.2832167832169
0,0,0,0,8,J,Q,K,K,2,2,0,1040.1251748251748
0,1,1,0,3,6,8,9,J,2,2,0,571.3951048951049
0,0,0,0,4,7,8,J,Q,1,2,3,90.58307210031347
0,0,0,1,2,6,9,9,J,1,2,3,774.2692307692307
0,1,1,0,5,8,9,J,K,1,2,3,638.0104895104895
0,0,0,0,5,5,6,8,A,2,22,0,518.4055944055945
0,2,2,2,7,8,9,T,A,2,2,0,1353.2948717948718
2,1,0,2,3,6,T,J,Q,1,1,0,1107.3461538461538
0,0,0,0,2,5,7,T,A,2,2,0,182.1771159874608
1,1,1,1,5,5,9,A,A,2,2,0,1581.9941724941725
0,2,1,1,7,T,T,T,Q,3,3,3,1912.128205128205
0,0,0,0,2,4,5,Q,K,2,2,0,156.29623824451411
0,1,1,0,4,8,8,9,Q,2,2,3,1462.2843822843822
0,0,0,0,7,T,K,K,A,2,2,0,1051.025874125874
0,0,0,0,4,5,8,T,K,2,22,3,116.86833855799372
0,1,0,1,3,4,T,J,J,1,2,0,1878.3461538461538
0,0,0,0,2,5,8,9,Q,1,1,0,85.93260188087774
0,1,0,1,2,8,K,A,A,2,2,0,1123.3944055944057
0,2,2,0,2,4,8,T,J,2,22,3,682.8244755244755
0,1,0,0,3,5,9,T,K,1,2,3,369.4293706293706
0,0,0,0,3,7,9,K,A,2,3,4,1051.6314685314685
0,1,0,0,5,5,9,T,A,1,2,0,524.4615384615385
1,2,2,0,6,7,J,Q,A,3,4,4,1621.3018648018647
0,1,1,0,2,2,5,7,9,1,1,0,314.3202797202797
0,1,1,0,2,5,6,T,J,2,2,0,248.49686520376176
0,1,2,1,2,2,7,J,K,2,2,0,1129.9557109557109
0,0,0,0,5,7,9,K,A,3,3,4,1300.8846153846155
0,1,2,1,8,9,T,T,J,2,2,0,1768.6
0,1,2,2,3,5,T,J,Q,1,1,0,1647.0314685314686
0,0,0,0,3,4,5,6,A,1,2,0,519.9195804195804
0,0,0,0,4,6,Q,K,A,1,2,0,457.8461538461538
0,0,0,0,3,5,9,9,J,1,2,0,749.4398601398601
0,1,0,0,2,2,5,6,A,1,1,0,1150.2051282051282
0,2,2,2,2,6,Q,Q,K,1,2,0,1922.0641025641025
1,2,1,0,2,J,J,Q,A,2,3,4,1627.8531468531469
0,1,0,0,2,7,8,J,Q,2,2,3,360.3454545454546
0,0,0,1,4,5,7,9,Q,2,22,0,622.2650349650349
0,1,0,0,2,5,5,9,T,2,3,3,474.5
1,1,2,2,5,9,9,J,K,2,2,0,1608.7948717948718
0,1,0,0,2,5,7,K,A,3,4,4,1838.0313234142523
0,0,0,1,2,6,K,A,A,1,2,3,1589.1410256410256
0,0,0,0,4,6,7,J,A,2,3,3,187.63636363636363
0,1,0,0,2,2,4,J,Q,2,2,0,307.96153846153845
0,1,0,1,3,5,6,8,T,2,2,3,800.006993006993
0,2,2,2,2,4,4,7,J,1,1,0,1883.1153846153845
0,0,0,0,6,6,Q,Q,A,2,3,3,1451.5641025641025
0,0,0,1,3,5,6,7,K,2,2,0,656.1783216783217
0,1,1,0,4,5,7,J,A,2,2,0,452.09300699300695
0,0,0,1,6,7,T,J,Q,2,2,3,987.7412587412588
2,1,1,2,2,5,9,K,A,2,3,4,1864.3429913860612
1,0,1,1,5,5,5,T,T,2,2,0,1909.7435897435898
0,1,0,1,4,5,J,Q,Q,1,2,0,1445.0128205128206
0,0,1,1,3,T,J,Q,A,2,2,3,921.1258741258741
0,1,0,2,3,5,5,K,K,2,2,3,1821.1260767423648
0,1,0,0,2,2,9,K,A,2,3,3,1490.871794871795
0,0,0,1,4,5,5,8,K,2,3,3,523.8559440559441
0,1,1,1,2,4,4,7,T,1,2,0,1327.0897435897436
0,1,1,0,2,6,7,8,K,2,2,0,149.82601880877743
0,0,0,0,4,7,9,Q,A,2,3,4,1123.3944055944057
0,0,0,0,2,9,9,J,A,1,2,0,783.9587412587413
0,2,1,1,4,5,8,T,A,2,2,3,1353.2948717948718
0,0,0,0,3,6,T,J,K,1,2,0,390.92797202797203
0,0,0,0,8,T,T,T,Q,1,1,0,1698.1923076923076
0,1,0,0,T,J,Q,Q,K,2,22,3,1555.7890442890443
0,0,0,0,2,6,7,J,K,2,3,3,247.28369905956112
0,1,0,1,4,T,Q,K,A,2,3,4,1864.079874706343
0,2,0,0,4,5,J,Q,K,1,2,3,905.986013986014
0,0,0,0,3,6,6,8,9,1,2,0,1291.951048951049
0,2,1,1,4,7,9,Q,A,1,2,0,786.9867132867133
0,2,0,0,8,9,K,K,A,2,2,0,1530.1794871794873
0,0,0,0,6,8,9,T,K,2,22,0,117.0705329153605
0,0,1,2,4,6,8,9,T,1,2,0,1762.8
0,1,2,0,3,4,7,Q,K,1,2,0,440.2839160839161
2,1,2,2,5,7,Q,Q,K,2,2,0,1712.5
0,0,0,0,4,5,Q,K,K,1,2,3,1055.5678321678322
0,0,1,0,4,7,8,J,J,2,3,3,880.8538461538461
0,0,0,0,2,5,8,J,K,2,2,0,123.3385579937304
0,0,2,0,3,3,5,7,K,1,2,0,1156.1608391608393
2,1,0,0,2,2,6,9,K,2,3,3,324.3125874125874
0,2,1,1,4,6,7,A,A,1,2,0,1586.1631701631702
0,1,1,0,4,7,T,J,Q,1,2,0,654.6643356643357
