@RELATION SimpleBotHROM

@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
c,c,c,r,T,8,9,8,4,2,2,0,two_pairs
c,c,c,c,4,J,J,8,7,1,2,3,one_pair
c,c,c,c,K,4,A,3,3,1,1,0,one_pair
c,c,c,c,J,4,4,6,5,2,3,3,one_pair
c,c,c,rr,3,5,K,Q,4,1,2,0,straight
c,r,c,rr,J,7,J,6,5,1,2,0,one_pair
c,c,c,c,5,3,4,9,2,2,2,0,one_pair
r,rr,rr,c,6,3,J,3,4,2,2,0,two_pairs
c,c,c,r,9,4,J,3,6,1,2,0,one_pair
c,r,c,rr,2,J,3,Q,Q,2,2,0,two_pairs
c,r,c,c,6,3,Q,K,7,2,22,0,one_pair
c,c,rr,r,T,8,4,K,6,2,22,3,one_pair
c,c,c,c,K,A,6,5,6,1,2,0,one_pair
c,c,c,c,K,K,J,7,2,2,22,0,two_pairs
c,c,c,c,6,5,4,J,8,2,2,0,high_card
c,r,r,rr,Q,A,8,3,A,2,22,0,full_house
c,c,c,c,T,4,3,2,8,2,2,0,one_pair
c,r,c,r,8,8,9,A,K,1,2,3,two_pairs
r,r,r,c,6,6,2,2,3,2,2,3,flush
c,c,r,r,T,3,Q,Q,J,1,1,0,two_pairs
c,r,c,c,A,6,6,8,J,2,3,3,one_pair
