@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE called_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE called_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE called_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE other_players_hand_rank NUMERIC
@ATTRIBUTE simplebots_hand_rank {higher,lower}
@DATA
0,1,0,2,0,1,1,2,7,9,9,Q,K,2,22,0,4718,lower
1,1,1,1,1,0,2,1,2,3,3,J,J,1,2,3,4554,higher
0,1,0,1,0,1,0,1,2,4,6,7,J,2,22,3,1914,lower
0,1,2,1,2,1,0,2,2,2,3,9,Q,1,2,0,5039,lower
0,1,0,2,0,1,0,1,4,4,6,7,9,2,2,3,6162,lower
0,1,0,1,0,1,0,1,2,3,8,T,K,3,3,3,6335,lower
0,1,1,1,1,1,1,2,4,5,5,8,K,2,22,0,4201,higher
0,1,0,1,0,1,0,1,6,T,J,Q,A,2,2,0,4730,lower
0,1,0,1,0,1,0,1,3,5,5,6,8,2,3,3,1986,higher
0,1,1,0,0,2,1,0,3,4,9,A,A,2,2,3,4945,lower
0,1,0,1,0,1,0,1,2,4,6,J,Q,1,1,0,415,higher
0,1,0,1,0,1,0,1,7,8,8,Q,A,3,3,3,2803,higher
0,2,0,1,0,1,1,1,4,8,8,9,T,2,2,0,4308,higher
0,1,0,1,0,1,0,1,4,7,8,J,J,1,2,3,3361,lower
0,1,0,1,0,1,0,1,3,3,4,K,A,1,1,0,5853,lower
0,1,0,1,0,1,0,1,4,4,5,6,J,2,3,3,4563,lower
0,1,0,1,0,1,2,1,3,4,5,Q,K,1,2,0,1272,higher
0,1,1,0,0,1,2,1,5,6,7,J,J,1,2,0,4598,lower
0,1,0,1,0,2,0,2,2,3,4,5,9,2,2,0,1969,higher
1,0,2,1,2,1,0,2,3,3,4,6,J,2,2,0,5092,lower
0,1,0,1,0,1,1,1,3,4,6,9,J,1,2,0,2240,higher
0,1,1,0,0,1,2,1,2,3,J,Q,Q,2,2,0,3680,higher
0,1,1,2,0,1,0,1,3,6,7,Q,K,2,22,0,775,higher
0,1,0,1,2,1,1,1,4,6,8,T,K,2,22,3,4116,lower
0,1,0,1,0,1,0,1,5,6,6,K,A,1,2,0,4246,lower
0,1,0,1,0,1,0,1,2,7,J,K,K,2,22,0,3808,higher
0,1,0,1,0,1,0,1,4,5,6,8,J,2,2,0,4582,lower
0,1,1,0,1,0,2,1,3,8,Q,A,A,2,22,0,4938,higher
0,1,0,1,0,1,0,1,2,3,4,8,T,2,2,0,1546,lower
0,1,1,1,0,1,1,1,8,8,9,K,A,1,2,3,4818,higher
1,1,1,0,1,0,0,1,2,2,3,6,6,2,2,3,4208,higher
0,1,0,1,1,2,1,2,3,T,J,Q,Q,1,1,0,4739,lower
0,1,1,1,0,1,0,1,6,6,8,J,A,2,3,3,2355,higher
0,1,0,1,1,0,2,1,2,5,6,7,J,2,2,0,3306,lower
0,1,1,1,1,0,0,2,4,9,K,A,A,1,2,3,4895,lower
0,1,0,1,0,1,0,1,3,T,J,Q,Q,2,2,0,4653,lower
0,1,1,0,1,0,1,2,7,9,T,T,A,3,4,4,3254,higher
0,1,0,1,1,0,1,1,4,5,5,6,K,2,2,0,2098,higher
0,1,1,1,1,1,0,2,3,7,J,J,K,1,1,0,4597,lower
1,0,1,1,1,0,1,1,3,8,9,J,Q,2,2,3,1615,higher
0,1,0,1,1,1,0,1,9,J,J,Q,A,2,2,0,3476,lower
0,1,1,0,1,0,1,2,2,2,3,3,6,2,3,3,4146,higher
0,1,0,1,0,1,0,1,5,8,9,T,J,2,3,3,664,higher
0,1,0,1,0,1,2,1,5,T,J,Q,K,1,2,3,5861,higher
0,1,0,1,1,0,0,1,4,8,T,T,Q,2,22,3,3140,higher
0,1,0,1,0,1,0,1,3,5,8,T,K,2,2,0,1231,higher
1,0,1,1,1,1,0,2,3,4,8,9,J,1,2,0,2890,lower
0,1,0,1,1,0,1,2,3,4,6,9,J,1,1,0,1791,higher
0,1,0,1,1,0,1,1,3,4,8,8,J,1,2,3,2751,higher
1,0,1,0,1,0,0,1,3,3,7,8,A,2,2,0,4323,higher
0,1,0,1,0,1,0,1,2,3,J,K,K,2,3,4,4761,lower
0,1,0,1,0,1,0,1,4,5,7,Q,A,2,2,3,1026,higher
0,1,0,1,0,1,0,1,3,7,J,K,A,2,3,4,1715,lower
0,1,0,1,1,0,0,2,2,4,5,5,K,2,2,0,4202,lower
0,1,1,0,1,0,0,1,7,8,T,Q,K,2,2,0,741,higher
0,1,1,0,2,1,1,0,6,7,9,T,K,2,22,3,6108,lower
0,1,0,1,0,1,0,1,5,6,Q,K,A,1,2,3,5862,lower
1,1,0,2,0,1,0,1,3,4,6,8,T,1,2,0,115,higher
0,1,0,1,0,1,0,1,2,3,8,8,Q,2,22,3,2698,higher
0,1,0,1,1,1,1,2,4,8,9,T,Q,2,22,0,3560,lower
0,1,1,0,2,1,1,0,4,7,7,T,J,2,2,0,5859,lower
0,1,0,1,0,2,2,1,2,7,8,J,K,1,2,0,1275,higher
0,1,0,1,0,1,0,1,7,J,Q,Q,Q,2,2,0,7269,lower
0,1,2,0,0,1,0,2,3,5,7,T,Q,2,22,3,1705,higher
0,1,0,1,0,1,1,1,3,7,8,8,K,2,2,0,4322,higher
0,1,0,1,0,1,0,1,2,5,6,6,J,2,2,3,4221,lower
0,1,1,1,1,0,2,1,7,T,J,Q,Q,2,22,0,3686,higher
0,1,0,1,0,1,1,1,2,3,8,9,Q,1,2,0,3530,lower
0,1,0,1,0,1,0,1,2,2,6,7,T,2,2,0,4540,lower
0,1,0,1,0,1,0,1,8,T,J,K,A,2,2,0,1231,higher
0,1,1,0,0,1,0,1,2,6,Q,Q,K,2,2,0,3637,lower
0,1,0,1,0,1,0,1,2,3,9,T,A,2,3,3,2569,lower
0,1,0,1,1,0,0,1,3,9,9,Q,A,2,22,0,3025,higher
0,1,1,0,0,1,0,1,3,7,8,9,T,2,3,4,7457,lower
2,0,1,0,1,0,1,0,4,6,8,8,Q,1,2,0,4703,higher
0,1,2,1,1,0,0,2,3,4,9,J,A,1,2,0,962,higher
0,1,0,1,0,1,0,1,3,4,4,6,Q,1,2,0,4658,higher
0,1,1,1,1,1,0,1,2,3,5,9,J,2,2,0,3401,lower
0,1,2,1,1,0,2,1,5,7,9,J,A,1,2,0,2577,higher
0,1,1,0,0,1,0,1,3,3,5,K,K,2,2,3,4757,higher
0,1,1,0,0,1,0,1,2,4,5,6,A,2,2,0,1455,higher
0,1,0,1,0,1,0,1,2,3,J,J,Q,2,22,0,4541,lower
0,1,1,0,0,1,0,1,2,3,4,7,Q,2,2,0,387,higher
0,1,0,1,0,1,0,1,4,T,K,A,A,1,2,0,4135,lower
0,1,0,1,0,1,0,1,3,8,T,Q,A,1,2,3,1068,higher
0,1,1,0,0,1,1,1,9,9,J,Q,A,1,2,0,4971,lower
0,1,1,1,0,1,0,2,5,6,7,9,K,1,1,0,509,higher
0,2,0,1,2,1,2,1,2,8,9,9,A,2,3,3,3036,higher
0,1,1,0,1,2,2,1,2,3,7,7,Q,2,3,4,2582,higher
0,1,1,0,0,1,2,1,9,9,T,J,Q,1,2,0,5861,higher
0,1,2,0,2,1,2,1,2,3,3,J,K,2,3,3,4761,higher
2,0,2,1,1,1,2,1,2,5,8,9,J,2,22,0,2892,higher
0,1,0,1,0,1,0,1,2,4,5,5,J,1,2,0,4177,lower
0,1,0,1,1,0,0,1,3,7,8,K,A,2,2,0,1189,higher
0,1,0,1,0,1,0,1,3,3,J,K,K,2,2,0,4762,lower
