@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,c,c,c,2,5,5,7,T,1,1,0,2056
c,rr,r,c,3,4,4,K,K,2,22,0,4765
c,c,c,rr,3,5,8,9,9,2,3,3,7182
c,rr,r,c,2,3,5,T,Q,1,2,0,1616
c,c,c,c,6,6,J,Q,A,3,3,4,6949
c,c,c,c,9,Q,K,A,A,2,2,0,4134
c,c,c,c,3,8,9,Q,K,1,1,0,720
rr,rr,c,c,6,6,7,7,8,2,2,0,4295
c,c,c,c,2,3,5,5,9,1,2,0,2136
r,rr,rr,rr,5,6,9,T,A,2,22,0,4072
c,r,c,r,2,3,5,8,J,1,2,3,1394
c,c,c,c,3,3,8,J,K,1,2,0,1652
c,c,c,r,9,T,J,Q,K,2,2,0,5861
r,rr,rr,r,3,6,7,9,T,2,3,3,3779
c,rr,r,c,5,8,9,T,T,2,22,0,4518
c,r,rr,r,3,7,T,T,Q,1,2,0,5566
c,rr,r,c,T,J,Q,K,A,2,2,3,5862
c,c,c,c,J,Q,Q,K,A,2,2,0,3696
c,r,c,r,6,7,7,T,Q,2,2,0,4508
c,c,c,c,4,8,T,T,A,1,2,0,3254
rr,rr,r,r,8,9,T,K,A,2,2,0,3695
c,c,c,r,2,3,5,Q,Q,2,22,3,4636
